food,density_g_per_cm3,calorie density,g/cm3 (g/ml)
apple_pie,2.37,,
baby_back_ribs,2.97,,
baklava,4.17,,
beef_carpaccio,2.17,,
beef_tartare,1.96,,
beet_salad,0.34,,
beignets,0.45,,
bibimbap,1.21,,
bread_pudding,1.53,,
breakfast_burrito,1.85,,
bruschetta,1.95,,
caesar_salad,1.58,,
cannoli,2.98,,
caprese_salad,1.66,,
carrot_cake,4.15,,
ceviche,0.87,,
cheese_plate,3.68,,
cheesecake,3.21,,
chicken_curry,1.18,,
chicken_quesadilla,2.06,,
chicken_wings,2.03,,
chocolate_cake,3.71,,
chocolate_mousse,1.68,,
churros,3.8,,
clam_chowder,0.83,,
club_sandwich,2.4,,
crab_cakes,0.8,,
creme_brulee,2.7,,
croque_madame,1.65,,
cup_cakes,3.05,,
deviled_eggs,1.55,,
donuts,4.52,,
dumplings,1.41,,
edamame,1.21,,
eggs_benedict,2.3,,
escargots,0.9,,
falafel,3.33,,
filet_mignon,1.75,,
fish_and_chips,2.3,,
foie_gras,4.62,,
french_fries,3.65,,
french_onion_soup,0.57,,
french_toast,2.22,,
fried_calamari,1.75,,
fried_rice,1.63,,
frozen_yogurt,1.27,,
garlic_bread,3.5,,
gnocchi,1.31,,
greek_salad,1.6,,
grilled_cheese_sandwich,1.85,,
grilled_salmon,2.31,,
guacamole,1.6,,
gyoza,1.75,,
hamburger,2.65,,
hot_and_sour_soup,0.47,,
hot_dog,2.9,,
huevos_rancheros,1.44,,
hummus,1.66,,
ice_cream,2.07,,
lasagna,1.35,,
lobster_bisque,0.92,,
lobster_roll_sandwich,1.8,,
macaroni_and_cheese,2.11,,
macarons,4.07,,
miso_soup,0.4,,
mussels,1.72,,
nachos,3.46,,
omelette,1.54,,
onion_rings,4.11,,
oysters,0.81,,
pad_thai,1.53,,
paella,1.39,,
pancakes,2.27,,
panna_cotta,1.1,,
peking_duck,3.37,,
pho,0.62,,
pizza,2.66,,
pork_chop,2.31,,
poutine,3.93,,
prime_rib,2.91,,
pulled_pork_sandwich,1.95,,
ramen,1.88,,
ravioli,1.75,,
red_velvet_cake,3.64,,
risotto,1.43,,
samosa,3.08,,
sashimi,1.38,,
scallops,1.37,,
seaweed_salad,0.85,,
shrimp_and_grits,0.95,,
spaghetti_bolognese,1.51,,
spaghetti_carbonara,1.74,,
spring_rolls,1.4,,
steak,2.5,,
strawberry_shortcake,2.67,,
sushi,1.42,,
tacos,2.26,,
takoyaki,1.62,,
tiramisu,2.4,,
tuna_tartare,1.44,,
waffles,2.91,,